%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	2.4672E+1	1.3806E+1	-6.9967E+1	-7.3296E+1	-7.8222E+1	-7.5189E+1	-8.0652E+1
1.0411E+1	2.4686E+1	1.3280E+1	-6.9308E+1	-6.9655E+1	-9.4295E+1	-8.2084E+1	-8.6086E+1
1.0838E+1	2.4698E+1	1.2773E+1	-6.8792E+1	-6.8911E+1	-9.6075E+1	-8.4854E+1	-1.0455E+2
1.1283E+1	2.4708E+1	1.2286E+1	-6.9313E+1	-7.1432E+1	-7.9826E+1	-7.6734E+1	-7.8665E+1
1.1746E+1	2.4717E+1	1.1815E+1	-6.6061E+1	-8.5413E+1	-7.0733E+1	-6.9607E+1	-7.2935E+1
1.2228E+1	2.4726E+1	1.1362E+1	-6.5474E+1	-8.6271E+1	-6.9774E+1	-6.9591E+1	-7.1807E+1
1.2730E+1	2.4735E+1	1.0927E+1	-6.5146E+1	-8.6085E+1	-7.0007E+1	-6.8533E+1	-7.1990E+1
1.3253E+1	2.4744E+1	1.0509E+1	-6.5563E+1	-8.6141E+1	-7.0283E+1	-6.9114E+1	-7.2290E+1
1.3797E+1	2.4752E+1	1.0106E+1	-6.5750E+1	-8.5644E+1	-7.0406E+1	-6.9405E+1	-7.2393E+1
1.4363E+1	2.4759E+1	9.7190E+0	-6.5906E+1	-8.5537E+1	-7.0583E+1	-6.9529E+1	-7.2595E+1
1.4953E+1	2.4766E+1	9.3462E+0	-6.5910E+1	-8.5305E+1	-7.0581E+1	-6.9545E+1	-7.2596E+1
1.5567E+1	2.4773E+1	8.9877E+0	-6.6131E+1	-8.5228E+1	-7.0983E+1	-6.9676E+1	-7.2735E+1
1.6206E+1	2.4779E+1	8.6427E+0	-6.6209E+1	-8.5038E+1	-7.1385E+1	-6.9616E+1	-7.2653E+1
1.6871E+1	2.4784E+1	8.3110E+0	-6.6386E+1	-8.5095E+1	-7.1759E+1	-6.9701E+1	-7.2762E+1
1.7564E+1	2.4790E+1	7.9919E+0	-6.6024E+1	-8.4926E+1	-7.0662E+1	-6.9693E+1	-7.2723E+1
1.8285E+1	2.4795E+1	7.6851E+0	-6.6054E+1	-8.4929E+1	-7.0734E+1	-6.9704E+1	-7.2729E+1
1.9036E+1	2.4799E+1	7.3899E+0	-6.5896E+1	-8.4926E+1	-7.0553E+1	-6.9563E+1	-7.2562E+1
1.9817E+1	2.4803E+1	7.1061E+0	-6.5844E+1	-8.5357E+1	-7.0474E+1	-6.9517E+1	-7.2516E+1
2.0631E+1	2.4807E+1	6.8331E+0	-6.5697E+1	-8.4805E+1	-7.0363E+1	-6.9380E+1	-7.2312E+1
2.1478E+1	2.4811E+1	6.5707E+0	-6.5629E+1	-8.5045E+1	-7.0277E+1	-6.9324E+1	-7.2233E+1
2.2359E+1	2.4815E+1	6.3183E+0	-6.5433E+1	-8.3068E+1	-7.0124E+1	-6.9158E+1	-7.2028E+1
2.3277E+1	2.4818E+1	6.0757E+0	-6.5379E+1	-8.4742E+1	-7.0033E+1	-6.9086E+1	-7.1954E+1
2.4233E+1	2.4821E+1	5.8423E+0	-6.5252E+1	-8.7284E+1	-6.9886E+1	-6.8955E+1	-7.1760E+1
2.5228E+1	2.4824E+1	5.6179E+0	-6.5136E+1	-8.7345E+1	-6.9775E+1	-6.8830E+1	-7.1648E+1
2.6263E+1	2.4827E+1	5.4022E+0	-6.4932E+1	-8.1866E+1	-6.9611E+1	-6.8729E+1	-7.1467E+1
2.7342E+1	2.4829E+1	5.1948E+0	-6.4774E+1	-8.2064E+1	-6.9454E+1	-6.8579E+1	-7.1262E+1
2.8464E+1	2.4832E+1	4.9954E+0	-6.4742E+1	-8.2102E+1	-6.9413E+1	-6.8540E+1	-7.1249E+1
2.9633E+1	2.4834E+1	4.8037E+0	-6.4582E+1	-8.2754E+1	-6.9252E+1	-6.8395E+1	-7.1005E+1
3.0849E+1	2.4836E+1	4.6193E+0	-6.4468E+1	-8.2011E+1	-6.9163E+1	-6.8315E+1	-7.0835E+1
3.2116E+1	2.4838E+1	4.4421E+0	-6.4325E+1	-8.1775E+1	-6.9009E+1	-6.8171E+1	-7.0721E+1
3.3434E+1	2.4840E+1	4.2716E+0	-6.4278E+1	-8.1338E+1	-6.8961E+1	-6.8134E+1	-7.0688E+1
3.4807E+1	2.4842E+1	4.1078E+0	-6.4164E+1	-8.1261E+1	-6.8863E+1	-6.8047E+1	-7.0499E+1
3.6236E+1	2.4843E+1	3.9502E+0	-6.4157E+1	-8.0943E+1	-6.8841E+1	-6.8051E+1	-7.0522E+1
3.7723E+1	2.4845E+1	3.7986E+0	-6.4051E+1	-8.0682E+1	-6.8698E+1	-6.8051E+1	-7.0300E+1
3.9272E+1	2.4847E+1	3.6528E+0	-6.3943E+1	-8.0577E+1	-6.8698E+1	-6.7785E+1	-7.0311E+1
4.0884E+1	2.4848E+1	3.5135E+0	-6.3818E+1	-8.0270E+1	-6.8544E+1	-6.7718E+1	-7.0141E+1
4.2562E+1	2.4849E+1	3.3791E+0	-6.3903E+1	-8.0300E+1	-6.8634E+1	-6.7813E+1	-7.0208E+1
4.4310E+1	2.4851E+1	3.2479E+0	-6.3785E+1	-8.0328E+1	-6.8557E+1	-6.7696E+1	-7.0017E+1
4.6129E+1	2.4852E+1	3.1232E+0	-6.3784E+1	-7.9895E+1	-6.8542E+1	-6.7694E+1	-7.0078E+1
4.8023E+1	2.4853E+1	3.0057E+0	-6.3622E+1	-7.9716E+1	-6.8283E+1	-6.7576E+1	-6.9981E+1
4.9994E+1	2.4854E+1	2.8902E+0	-6.3747E+1	-7.9799E+1	-6.8638E+1	-6.7675E+1	-6.9837E+1
5.2047E+1	2.4856E+1	2.7790E+0	-6.3719E+1	-7.9905E+1	-6.8548E+1	-6.7585E+1	-6.9982E+1
5.4183E+1	2.4856E+1	2.6729E+0	-6.3823E+1	-7.9953E+1	-6.8605E+1	-6.7736E+1	-7.0077E+1
5.6408E+1	2.4858E+1	2.5706E+0	-6.3976E+1	-8.0782E+1	-6.8730E+1	-6.7867E+1	-7.0241E+1
5.8723E+1	2.4859E+1	2.4702E+0	-6.4485E+1	-8.1938E+1	-6.9241E+1	-6.8320E+1	-7.0794E+1
6.1134E+1	2.4860E+1	2.3761E+0	-6.4435E+1	-8.2515E+1	-6.9236E+1	-6.8215E+1	-7.0734E+1
6.3644E+1	2.4861E+1	2.2846E+0	-6.4805E+1	-8.2883E+1	-6.9594E+1	-6.8561E+1	-7.1163E+1
6.6257E+1	2.4862E+1	2.1975E+0	-6.4610E+1	-8.2844E+1	-6.9350E+1	-6.8439E+1	-7.0895E+1
6.8977E+1	2.4862E+1	2.1133E+0	-6.4791E+1	-8.2625E+1	-6.9582E+1	-6.8582E+1	-7.1098E+1
7.1808E+1	2.4863E+1	2.0320E+0	-6.4595E+1	-8.2076E+1	-6.9409E+1	-6.8389E+1	-7.0893E+1
7.4756E+1	2.4864E+1	1.9536E+0	-6.4556E+1	-8.2116E+1	-6.9355E+1	-6.8343E+1	-7.0881E+1
7.7825E+1	2.4864E+1	1.8784E+0	-6.4297E+1	-8.2842E+1	-6.9035E+1	-6.8111E+1	-7.0595E+1
