#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (phi)
1,20.0,0.8920,24.90,6.65
2,20.9,0.8920,24.89,6.46
3,21.9,0.8920,24.91,6.18
4,22.9,0.8920,24.91,5.89
5,24.0,0.8920,24.91,5.65
6,25.1,0.8920,24.90,5.41
7,26.3,0.8920,24.91,5.20
8,27.5,0.8920,24.91,4.96
9,28.8,0.8920,24.91,4.80
10,30.2,0.8920,24.92,4.57
11,31.6,0.8920,24.92,4.40
12,33.1,0.8920,24.91,4.19
13,34.7,0.8920,24.92,4.01
14,36.3,0.8920,24.93,3.82
15,38.0,0.8920,24.93,3.65
16,39.8,0.8920,24.92,3.49
17,41.7,0.8920,24.92,3.37
18,43.7,0.8920,24.94,3.19
19,45.7,0.8920,24.92,3.04
20,47.9,0.8920,24.93,2.88
21,50.1,0.8920,24.92,2.76
22,52.5,0.8920,24.93,2.63
23,55.0,0.8920,24.92,2.46
24,57.5,0.8920,24.94,2.39
25,60.3,0.8920,24.94,2.23
26,63.1,0.8920,24.94,2.12
27,66.1,0.8920,24.93,2.00
28,69.2,0.8920,24.94,1.89
29,72.4,0.8920,24.94,1.77
30,75.9,0.8920,24.93,1.71
31,79.4,0.8920,24.93,1.64
32,83.2,0.8920,24.92,1.51
33,87.1,0.8920,24.92,1.43
34,91.2,0.8920,24.92,1.37
35,95.5,0.8920,24.92,1.32
36,100.0,0.8920,24.92,1.25
37,104.7,0.8920,24.92,1.20
38,109.6,0.8920,24.93,1.15
39,114.8,0.8920,24.91,1.09
40,120.2,0.8920,24.92,1.03
41,125.9,0.8920,24.92,1.02
42,131.8,0.8920,24.92,0.91
43,138.0,0.8920,24.91,0.91
44,144.5,0.8920,24.92,0.86
45,151.4,0.8920,24.92,0.84
46,158.5,0.8920,24.91,0.80
47,166.0,0.8920,24.91,0.75
48,173.8,0.8920,24.91,0.69
49,182.0,0.8920,24.93,0.68
50,190.5,0.8920,24.91,0.68
51,199.5,0.8920,24.91,0.64
52,208.9,0.8920,24.91,0.61
53,218.8,0.8920,24.92,0.58
54,229.1,0.8920,24.92,0.52
55,239.9,0.8920,24.92,0.52
56,251.2,0.8920,24.91,0.46
