%	Date:	2006-06-01	Time:	03:31:44
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
1.0000E+1	2.4680E+1	1.3683E+1	3.5979E-2	3.6295E-3	1.2146E-4	5.8389E-4	7.2926E-5
1.0411E+1	2.4693E+1	1.3161E+1	3.5691E-2	3.6015E-3	1.4468E-4	5.5725E-4	1.2719E-4
1.0838E+1	2.4705E+1	1.2658E+1	3.5580E-2	3.5925E-3	1.4615E-4	5.5183E-4	6.0833E-5
1.1283E+1	2.4716E+1	1.2174E+1	3.5763E-2	3.6070E-3	1.5462E-4	5.7979E-4	4.1865E-5
1.1746E+1	2.4726E+1	1.1707E+1	3.5406E-2	3.5542E-3	1.7774E-4	6.6566E-4	4.0830E-5
1.2228E+1	2.4735E+1	1.1259E+1	3.5027E-2	3.5379E-3	1.8733E-4	5.2097E-4	5.5050E-5
1.2730E+1	2.4744E+1	1.0827E+1	3.5211E-2	3.5196E-3	1.9379E-4	7.3444E-4	5.3173E-5
1.3253E+1	2.4753E+1	1.0412E+1	3.4998E-2	3.5094E-3	1.8906E-4	6.7392E-4	5.4480E-5
1.3797E+1	2.4760E+1	1.0012E+1	3.4825E-2	3.5008E-3	1.9051E-4	6.2168E-4	5.2565E-5
1.4363E+1	2.4768E+1	9.6277E+0	3.4709E-2	3.4882E-3	1.8265E-4	6.2731E-4	5.5469E-5
1.4953E+1	2.4774E+1	9.2579E+0	3.4702E-2	3.4881E-3	1.9238E-4	6.2087E-4	5.5465E-5
1.5567E+1	2.4781E+1	8.9020E+0	3.4590E-2	3.4751E-3	2.0123E-4	6.2591E-4	4.9848E-5
1.6206E+1	2.4787E+1	8.5599E+0	3.4580E-2	3.4682E-3	2.9981E-4	6.1913E-4	5.1056E-5
1.6871E+1	2.4792E+1	8.2307E+0	3.4504E-2	3.4615E-3	2.8877E-4	6.1701E-4	5.6550E-5
1.7564E+1	2.4797E+1	7.9141E+0	3.4337E-2	3.4541E-3	1.0966E-4	6.1838E-4	5.2225E-5
1.8285E+1	2.4802E+1	7.6097E+0	3.4389E-2	3.4547E-3	2.1928E-4	6.1641E-4	5.5753E-5
1.9036E+1	2.4806E+1	7.3168E+0	3.4322E-2	3.4497E-3	1.8911E-4	6.1553E-4	5.2386E-5
1.9817E+1	2.4811E+1	7.0353E+0	3.4314E-2	3.4492E-3	1.9432E-4	6.1203E-4	5.3313E-5
2.0631E+1	2.4815E+1	6.7645E+0	3.4276E-2	3.4457E-3	1.8850E-4	6.1069E-4	5.4920E-5
2.1478E+1	2.4818E+1	6.5042E+0	3.4267E-2	3.4445E-3	1.9029E-4	6.1242E-4	5.3081E-5
2.2359E+1	2.4822E+1	6.2539E+0	3.4511E-2	3.4706E-3	1.8613E-4	6.0912E-4	5.6881E-5
2.3277E+1	2.4825E+1	6.0131E+0	3.3841E-2	3.4006E-3	1.9007E-4	6.1024E-4	4.9583E-5
2.4233E+1	2.4828E+1	5.7817E+0	3.3063E-2	3.3211E-3	1.9061E-4	6.0092E-4	6.0329E-5
2.5228E+1	2.4831E+1	5.5592E+0	3.3012E-2	3.3156E-3	1.9481E-4	6.0174E-4	4.9226E-5
2.6263E+1	2.4833E+1	5.3452E+0	3.4033E-2	3.4207E-3	1.9406E-4	6.0832E-4	5.2076E-5
2.7342E+1	2.4836E+1	5.1396E+0	3.4435E-2	3.4632E-3	1.9419E-4	6.0375E-4	5.1328E-5
2.8464E+1	2.4838E+1	4.9419E+0	3.3975E-2	3.4149E-3	1.9593E-4	6.0538E-4	5.6827E-5
2.9633E+1	2.4840E+1	4.7518E+0	3.3858E-2	3.4043E-3	1.9456E-4	5.9904E-4	2.6715E-5
3.0849E+1	2.4843E+1	4.5690E+0	3.3934E-2	3.4115E-3	1.8986E-4	6.0426E-4	3.2781E-5
3.2116E+1	2.4845E+1	4.3933E+0	3.3946E-2	3.4129E-3	1.9304E-4	6.0143E-4	4.8906E-5
3.3434E+1	2.4846E+1	4.2244E+0	3.3811E-2	3.3990E-3	1.9285E-4	6.0027E-4	5.6476E-5
3.4807E+1	2.4848E+1	4.0619E+0	3.3865E-2	3.4038E-3	1.9198E-4	6.0462E-4	5.6516E-5
3.6236E+1	2.4850E+1	3.9057E+0	3.3895E-2	3.4058E-3	1.9240E-4	6.1183E-4	5.2378E-5
3.7723E+1	2.4851E+1	3.7557E+0	3.3950E-2	3.4087E-3	1.9694E-4	6.2543E-4	5.4037E-5
3.9272E+1	2.4853E+1	3.6115E+0	3.3839E-2	3.4052E-3	1.9698E-4	5.8046E-4	4.6471E-5
4.0884E+1	2.4854E+1	3.4721E+0	3.3864E-2	3.4055E-3	1.9460E-4	5.9405E-4	5.4238E-5
4.2562E+1	2.4856E+1	3.3385E+0	3.3707E-2	3.3885E-3	1.8866E-4	5.9961E-4	5.6991E-5
4.4310E+1	2.4857E+1	3.2114E+0	3.3817E-2	3.4002E-3	1.9572E-4	5.9610E-4	5.5227E-5
4.6129E+1	2.4858E+1	3.0881E+0	3.3652E-2	3.3839E-3	1.9110E-4	5.9220E-4	5.8144E-5
4.8023E+1	2.4859E+1	2.9679E+0	3.3769E-2	3.3932E-3	2.2019E-4	5.9853E-4	6.3384E-5
4.9994E+1	2.4860E+1	2.8539E+0	3.3710E-2	3.3887E-3	1.9412E-4	5.9956E-4	4.1723E-5
5.2047E+1	2.4861E+1	2.7448E+0	3.3762E-2	3.3950E-3	1.8415E-4	5.9534E-4	6.4612E-5
5.4183E+1	2.4862E+1	2.6387E+0	3.3581E-2	3.3769E-3	2.0461E-4	5.8587E-4	5.4435E-5
5.6408E+1	2.4863E+1	2.5373E+0	3.3654E-2	3.3823E-3	1.9134E-4	6.0251E-4	5.7688E-5
5.8723E+1	2.4864E+1	2.4410E+0	3.3636E-2	3.3798E-3	1.9876E-4	6.0402E-4	5.5230E-5
6.1134E+1	2.4865E+1	2.3468E+0	3.3589E-2	3.3792E-3	1.9994E-4	5.7826E-4	5.7565E-5
6.3644E+1	2.4866E+1	2.2567E+0	3.3453E-2	3.3556E-3	1.9947E-4	6.3191E-4	5.9690E-5
6.6257E+1	2.4867E+1	2.1695E+0	3.3432E-2	3.3565E-3	2.1218E-4	6.1222E-4	4.8839E-5
6.8977E+1	2.4868E+1	2.0858E+0	3.3116E-2	3.3234E-3	2.0714E-4	6.1383E-4	5.6525E-5
7.1808E+1	2.4868E+1	2.0056E+0	3.3253E-2	3.3349E-3	2.1246E-4	6.2764E-4	5.1762E-5
7.4756E+1	2.4869E+1	1.9284E+0	3.3458E-2	3.3569E-3	2.2208E-4	6.2164E-4	4.4960E-5
7.7825E+1	2.4870E+1	1.8539E+0	3.3142E-2	3.3227E-3	2.1721E-4	6.2994E-4	4.5666E-5
8.1020E+1	2.4870E+1	1.7824E+0	3.3272E-2	3.3369E-3	2.3866E-4	6.1908E-4	4.0899E-5
8.4347E+1	2.4871E+1	1.7135E+0	3.3424E-2	3.3504E-3	2.3954E-4	6.3132E-4	4.0633E-5
8.7809E+1	2.4872E+1	1.6472E+0	3.3145E-2	3.3257E-3	2.2651E-4	6.1241E-4	3.9261E-5
