% Low power manual frequency response analysis
% Freq.; Input amplitude; Output amplitude; Phase(out to in);
% (Hz); peak-peak (V); peak-peak (V); (degree); 
1.00E+06;0.144;0.634;-81.8;
1.27E+06;0.144;0.510;-86.6;
1.62E+06;0.144;0.402;-90.8;
2.07E+06;0.144;0.332;-95.6;
2.64E+06;0.144;0.272;-99.4;
3.36E+06;0.144;0.218;-109.2;
4.28E+06;0.144;0.180;-115.8;
5.46E+06;0.144;0.154;-123.4;
6.95E+06;0.144;0.136;-135.4;
8.86E+06;0.144;0.128;-159.8;
1.13E+07;0.144;0.131;-179.6;
1.44E+07;0.144;0.166;152.6;
1.83E+07;0.144;0.196;92.6;
2.34E+07;0.144;0.1016;15.8;
2.98E+07;0.144;0.0596;-6.2;
3.79E+07;0.144;0.050;-55.8;
4.83E+07;0.144;0.046;-146.8;
