#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (phi)
1,20.0,0.0700,24.87,6.74
2,20.9,0.0700,24.87,6.48
3,21.9,0.0700,24.90,6.17
4,22.9,0.0700,24.91,5.89
5,24.0,0.0700,24.90,5.64
6,25.1,0.0700,24.91,5.42
7,26.3,0.0700,24.92,5.20
8,27.5,0.0700,24.93,4.96
9,28.8,0.0700,24.93,4.76
10,30.2,0.0700,24.93,4.53
11,31.6,0.0700,24.93,4.37
12,33.1,0.0700,24.93,4.17
13,34.7,0.0700,24.94,4.01
14,36.3,0.0700,24.94,3.83
15,38.0,0.0700,24.93,3.65
16,39.8,0.0700,24.94,3.49
17,41.7,0.0700,24.93,3.32
18,43.7,0.0700,24.92,3.19
19,45.7,0.0700,24.93,3.04
20,47.9,0.0700,24.91,2.91
21,50.1,0.0700,24.93,2.73
22,52.5,0.0700,24.92,2.64
23,55.0,0.0700,24.93,2.49
24,57.5,0.0700,24.94,2.39
25,60.3,0.0700,24.94,2.27
26,63.1,0.0700,24.94,2.12
27,66.1,0.0700,24.93,2.03
28,69.2,0.0700,24.92,1.95
29,72.4,0.0700,24.93,1.79
30,75.9,0.0700,24.92,1.72
31,79.4,0.0700,24.92,1.66
32,83.2,0.0700,24.92,1.50
33,87.1,0.0700,24.92,1.49
34,91.2,0.0700,24.92,1.37
35,95.5,0.0700,24.92,1.32
36,100.0,0.0700,24.92,1.30
37,104.7,0.0700,24.92,1.20
38,109.6,0.0700,24.92,1.14
39,114.8,0.0700,24.91,1.13
40,120.2,0.0700,24.91,1.07
41,125.9,0.0700,24.91,1.03
42,131.8,0.0700,24.92,0.98
43,138.0,0.0700,24.91,0.92
44,144.5,0.0700,24.91,0.86
45,151.4,0.0700,24.91,0.86
46,158.5,0.0700,24.90,0.78
47,166.0,0.0700,24.92,0.74
48,173.8,0.0700,24.92,0.75
49,182.0,0.0700,24.92,0.69
50,190.5,0.0700,24.91,0.63
51,199.5,0.0700,24.91,0.61
52,208.9,0.0700,24.91,0.57
53,218.8,0.0700,24.91,0.56
