% High power manual frequency response analysis
% Freq.; Input amplitude; Output amplitude; Phase(out to in);
% (Hz); peak-peak (V); peak-peak (V); (degree); 
1.00E+06;1.78;2.06;-116.0;
1.27E+06;1.78;1.68;-81.0;
1.62E+06;1.78;1.36;-103.2;
2.07E+06;1.78;1.14;-109.8;
2.64E+06;1.78;0.964;-92.2;
3.36E+06;1.78;0.824;-104.0;
4.28E+06;1.78;0.708;-94.4;
5.46E+06;1.78;0.640;-166.0;
6.95E+06;1.78;0.570;-44.4;
8.86E+06;1.78;0.514;-173.4;
1.13E+07;1.78;0.442;172.4;
1.44E+07;1.78;0.520;158.2;
1.83E+07;1.78;0.490;97.6;
2.34E+07;1.78;0.530;53.2;
2.98E+07;1.78;0.332;13.6;
3.79E+07;1.78;0.324;-46.0;
4.83E+07;1.78;0.284;-120.6;
