%	Date:	2006-06-01	Time:	03:43:34
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.64600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9697E+0	3.3466E-2	2.5774E-3	1.2357E-4	4.2400E-4	3.6441E-5
2.0706E+1	2.4815E+1	6.7376E+0	3.3347E-2	2.5694E-3	1.3709E-4	4.1004E-4	4.1369E-5
2.1438E+1	2.4818E+1	6.5133E+0	3.3201E-2	2.5591E-3	1.3862E-4	4.0140E-4	4.0404E-5
2.2195E+1	2.4821E+1	6.2964E+0	3.2695E-2	2.5197E-3	1.3505E-4	3.9827E-4	4.3239E-5
2.2979E+1	2.4824E+1	6.0868E+0	3.2473E-2	2.5042E-3	1.2921E-4	3.8715E-4	4.3602E-5
2.3791E+1	2.4827E+1	5.8841E+0	3.4095E-2	2.6315E-3	1.3853E-4	3.9127E-4	3.8465E-5
2.4631E+1	2.4829E+1	5.6882E+0	3.1520E-2	2.4276E-3	1.3874E-4	3.9036E-4	4.5817E-5
2.5501E+1	2.4832E+1	5.4988E+0	3.3565E-2	2.5911E-3	1.3460E-4	3.8203E-4	4.0654E-5
2.6402E+1	2.4834E+1	5.3157E+0	3.2958E-2	2.5435E-3	1.4061E-4	3.7714E-4	3.8862E-5
2.7334E+1	2.4836E+1	5.1387E+0	3.1795E-2	2.4516E-3	1.3530E-4	3.7807E-4	4.2064E-5
2.8300E+1	2.4838E+1	4.9677E+0	3.2422E-2	2.5019E-3	1.3533E-4	3.7235E-4	4.9728E-5
2.9299E+1	2.4840E+1	4.8024E+0	3.2318E-2	2.4936E-3	1.3708E-4	3.7435E-4	3.0751E-5
3.0334E+1	2.4842E+1	4.6426E+0	3.2425E-2	2.5026E-3	1.3969E-4	3.7109E-4	1.4093E-5
3.1406E+1	2.4844E+1	4.4881E+0	3.2515E-2	2.5103E-3	1.3039E-4	3.6947E-4	2.9505E-5
3.2515E+1	2.4845E+1	4.3388E+0	3.2446E-2	2.5053E-3	1.2809E-4	3.6479E-4	4.7317E-5
3.3664E+1	2.4847E+1	4.1944E+0	3.2416E-2	2.5024E-3	1.3410E-4	3.6659E-4	4.7490E-5
3.4853E+1	2.4848E+1	4.0549E+0	3.2301E-2	2.4937E-3	1.4060E-4	3.6138E-4	4.5675E-5
3.6084E+1	2.4850E+1	3.9200E+0	3.2332E-2	2.4974E-3	1.3416E-4	3.5593E-4	4.3001E-5
3.7358E+1	2.4851E+1	3.7897E+0	3.2284E-2	2.4888E-3	1.3353E-4	3.8818E-4	4.4079E-5
3.8678E+1	2.4852E+1	3.6635E+0	3.2297E-2	2.4905E-3	1.3767E-4	3.8255E-4	4.3699E-5
4.0044E+1	2.4854E+1	3.5421E+0	3.2233E-2	2.4894E-3	1.4308E-4	3.5381E-4	4.0316E-5
4.1458E+1	2.4855E+1	3.4237E+0	3.2192E-2	2.4853E-3	1.3619E-4	3.6152E-4	4.6771E-5
4.2923E+1	2.4856E+1	3.3105E+0	3.2122E-2	2.4804E-3	1.4448E-4	3.5411E-4	4.2547E-5
4.4439E+1	2.4857E+1	3.1995E+0	3.2206E-2	2.4868E-3	1.3850E-4	3.5866E-4	4.2129E-5
4.6009E+1	2.4858E+1	3.0930E+0	3.2075E-2	2.4766E-3	1.3302E-4	3.5834E-4	5.1779E-5
4.7634E+1	2.4859E+1	2.9910E+0	3.2219E-2	2.4877E-3	1.4076E-4	3.5895E-4	3.9278E-5
4.9316E+1	2.4860E+1	2.8903E+0	3.2035E-2	2.4718E-3	1.7214E-4	3.5154E-4	5.8384E-5
5.1058E+1	2.4861E+1	2.7947E+0	3.2241E-2	2.4905E-3	1.1656E-4	3.5698E-4	6.0828E-5
5.2862E+1	2.4862E+1	2.7032E+0	3.2070E-2	2.4750E-3	1.6000E-4	3.5707E-4	4.1245E-5
5.4729E+1	2.4863E+1	2.6136E+0	3.2082E-2	2.4774E-3	1.3400E-4	3.5758E-4	4.6260E-5
5.6662E+1	2.4864E+1	2.5264E+0	3.2058E-2	2.4749E-3	1.4664E-4	3.5671E-4	4.2032E-5
5.8663E+1	2.4864E+1	2.4409E+0	3.2021E-2	2.4739E-3	1.3634E-4	3.4754E-4	3.9361E-5
6.0735E+1	2.4865E+1	2.3599E+0	3.1947E-2	2.4662E-3	1.4061E-4	3.5771E-4	4.7085E-5
6.2881E+1	2.4866E+1	2.2813E+0	3.2068E-2	2.4769E-3	1.4490E-4	3.4854E-4	4.6494E-5
6.5102E+1	2.4866E+1	2.2061E+0	3.2025E-2	2.4704E-3	1.4971E-4	3.6865E-4	4.3086E-5
6.7401E+1	2.4867E+1	2.1322E+0	3.1948E-2	2.4673E-3	1.3887E-4	3.5082E-4	4.8677E-5
6.9782E+1	2.4868E+1	2.0613E+0	3.2096E-2	2.4790E-3	1.4380E-4	3.5065E-4	4.1387E-5
7.2247E+1	2.4868E+1	1.9926E+0	3.2317E-2	2.4956E-3	1.4359E-4	3.5477E-4	5.4920E-5
7.4799E+1	2.4869E+1	1.9265E+0	3.1696E-2	2.4470E-3	1.4154E-4	3.5353E-4	4.2577E-5
7.7441E+1	2.4870E+1	1.8621E+0	3.1509E-2	2.4321E-3	1.3556E-4	3.5646E-4	4.1996E-5
8.0176E+1	2.4870E+1	1.8000E+0	3.1563E-2	2.4335E-3	1.7382E-4	3.6020E-4	4.0595E-5
8.3008E+1	2.4871E+1	1.7397E+0	3.1868E-2	2.4592E-3	1.3148E-4	3.6728E-4	3.9039E-5
8.5940E+1	2.4871E+1	1.6816E+0	3.1717E-2	2.4472E-3	1.3945E-4	3.6475E-4	4.0839E-5
8.8976E+1	2.4872E+1	1.6254E+0	3.1620E-2	2.4382E-3	1.6622E-4	3.6195E-4	4.3444E-5
9.2118E+1	2.4872E+1	1.5708E+0	3.1568E-2	2.4363E-3	1.4862E-4	3.5541E-4	3.9200E-5
9.5372E+1	2.4873E+1	1.5183E+0	3.1672E-2	2.4429E-3	1.6007E-4	3.6093E-4	4.5880E-5
9.8741E+1	2.4873E+1	1.4673E+0	3.1545E-2	2.4329E-3	1.6163E-4	3.5922E-4	4.8244E-5
1.0223E+2	2.4874E+1	1.4179E+0	3.1632E-2	2.4405E-3	1.5293E-4	3.5887E-4	4.4056E-5
1.0584E+2	2.4874E+1	1.3702E+0	3.1521E-2	2.4343E-3	1.5323E-4	3.3958E-4	4.9874E-5
1.0958E+2	2.4875E+1	1.3239E+0	3.1550E-2	2.4367E-3	1.4165E-4	3.4391E-4	5.1020E-5
1.1345E+2	2.4875E+1	1.2792E+0	3.1607E-2	2.4416E-3	1.4491E-4	3.3973E-4	5.0033E-5
1.1746E+2	2.4875E+1	1.2359E+0	3.1403E-2	2.4240E-3	1.5120E-4	3.4766E-4	4.7978E-5
1.2160E+2	2.4876E+1	1.1940E+0	3.1810E-2	2.4569E-3	1.5227E-4	3.4225E-4	4.7468E-5
1.2590E+2	2.4876E+1	1.1535E+0	3.1594E-2	2.4412E-3	1.5262E-4	3.3273E-4	4.6506E-5
1.3035E+2	2.4876E+1	1.1143E+0	3.1239E-2	2.4142E-3	1.5147E-4	3.2554E-4	4.3355E-5
1.3495E+2	2.4877E+1	1.0759E+0	3.1472E-2	2.4312E-3	1.5476E-4	3.3278E-4	5.4027E-5
1.3972E+2	2.4877E+1	1.0390E+0	3.1053E-2	2.3990E-3	1.5556E-4	3.2720E-4	3.9500E-5
1.4465E+2	2.4877E+1	1.0038E+0	3.1837E-2	2.4613E-3	1.5760E-4	3.2314E-4	4.8993E-5
1.4976E+2	2.4878E+1	9.6908E-1	3.1000E-2	2.3950E-3	1.5731E-4	3.2505E-4	4.3209E-5
1.5505E+2	2.4878E+1	9.3569E-1	3.1473E-2	2.4313E-3	1.5103E-4	3.3715E-4	2.9363E-5
1.6053E+2	2.4878E+1	9.0319E-1	3.1525E-2	2.4372E-3	1.4787E-4	3.2370E-4	4.7324E-5
1.6620E+2	2.4879E+1	8.7144E-1	3.1084E-2	2.4025E-3	1.5267E-4	3.2006E-4	4.7784E-5
1.7207E+2	2.4879E+1	8.4114E-1	3.0594E-2	2.3640E-3	1.5263E-4	3.1613E-4	6.0813E-5
1.7815E+2	2.4879E+1	8.1139E-1	3.1365E-2	2.4223E-3	1.5119E-4	3.3771E-4	5.0066E-5
1.8444E+2	2.4879E+1	7.8289E-1	3.1362E-2	2.4229E-3	1.6643E-4	3.2644E-4	3.8529E-5
1.9095E+2	2.4880E+1	7.5523E-1	3.1493E-2	2.4327E-3	1.5792E-4	3.3136E-4	6.1358E-5
1.9770E+2	2.4880E+1	7.2804E-1	3.0413E-2	2.3507E-3	1.6879E-4	3.0282E-4	4.3925E-5
2.0468E+2	2.4880E+1	7.0197E-1	3.1015E-2	2.3979E-3	1.5039E-4	3.1539E-4	4.6910E-5
2.1191E+2	2.4880E+1	6.7674E-1	3.0915E-2	2.3903E-3	1.5208E-4	3.1133E-4	5.3354E-5
2.1940E+2	2.4881E+1	6.5186E-1	3.0398E-2	2.3496E-3	1.4911E-4	3.1177E-4	5.0416E-5
2.2715E+2	2.4881E+1	6.2817E-1	3.1082E-2	2.4021E-3	1.6143E-4	3.1851E-4	4.1315E-5
2.3517E+2	2.4881E+1	6.0477E-1	3.0270E-2	2.3404E-3	1.4730E-4	3.0695E-4	4.3028E-5
2.4348E+2	2.4881E+1	5.8245E-1	3.0268E-2	2.3406E-3	1.5149E-4	3.0122E-4	4.8685E-5
2.5208E+2	2.4882E+1	5.6076E-1	2.9863E-2	2.3083E-3	1.4572E-4	3.0697E-4	4.5020E-5
2.6098E+2	2.4882E+1	5.3928E-1	2.9710E-2	2.2979E-3	1.4727E-4	2.9268E-4	4.6262E-5
2.7020E+2	2.4882E+1	5.1842E-1	3.0327E-2	2.3459E-3	1.4990E-4	2.9734E-4	4.3727E-5
2.7974E+2	2.4882E+1	4.9808E-1	3.0509E-2	2.3607E-3	1.4964E-4	2.9399E-4	4.4037E-5
2.8962E+2	2.4882E+1	4.7856E-1	2.9402E-2	2.2741E-3	1.5694E-4	2.8356E-4	4.8069E-5
2.9985E+2	2.4882E+1	4.5954E-1	3.0016E-2	2.3212E-3	1.5254E-4	2.9665E-4	4.7019E-5
3.1045E+2	2.4883E+1	4.4091E-1	2.9876E-2	2.3103E-3	1.4763E-4	2.9740E-4	5.1011E-5
3.2141E+2	2.4883E+1	4.2287E-1	2.9735E-2	2.3002E-3	1.5145E-4	2.8994E-4	3.4591E-5
3.3276E+2	2.4883E+1	4.0530E-1	2.9619E-2	2.2910E-3	1.5343E-4	2.8810E-4	4.3850E-5
3.4452E+2	2.4883E+1	3.8798E-1	2.9491E-2	2.2800E-3	1.5452E-4	2.9483E-4	4.1127E-5
3.5669E+2	2.4883E+1	3.7131E-1	2.9290E-2	2.2652E-3	1.6203E-4	2.8103E-4	4.4869E-5
3.6928E+2	2.4883E+1	3.5488E-1	2.9251E-2	2.2620E-3	1.5520E-4	2.8365E-4	5.6710E-5
3.8233E+2	2.4884E+1	3.3882E-1	2.8580E-2	2.2088E-3	1.5387E-4	2.8903E-4	4.0205E-5
3.9583E+2	2.4884E+1	3.2309E-1	2.8952E-2	2.2377E-3	1.6323E-4	2.8530E-4	5.5735E-5
4.0981E+2	2.4884E+1	3.0794E-1	2.8483E-2	2.2013E-3	1.5457E-4	2.8787E-4	4.1698E-5
4.2429E+2	2.4884E+1	2.9288E-1	2.8242E-2	2.1829E-3	1.6162E-4	2.7718E-4	4.8422E-5
4.3928E+2	2.4884E+1	2.7829E-1	2.8471E-2	2.2017E-3	1.5384E-4	2.7476E-4	5.3660E-5
4.5479E+2	2.4884E+1	2.6383E-1	2.8344E-2	2.1920E-3	1.6366E-4	2.6663E-4	5.4422E-5
4.7086E+2	2.4884E+1	2.4967E-1	2.8057E-2	2.1678E-3	1.6457E-4	2.7927E-4	4.6999E-5
4.8749E+2	2.4885E+1	2.3591E-1	2.7968E-2	2.1624E-3	1.6417E-4	2.6814E-4	4.2819E-5
5.0471E+2	2.4885E+1	2.2225E-1	2.7790E-2	2.1485E-3	1.5751E-4	2.6737E-4	5.6774E-5
5.2254E+2	2.4885E+1	2.0888E-1	2.7692E-2	2.1390E-3	1.6026E-4	2.8165E-4	4.5881E-5
5.4099E+2	2.4885E+1	1.9557E-1	2.7159E-2	2.0980E-3	1.6435E-4	2.6832E-4	5.8336E-5
5.6010E+2	2.4885E+1	1.8280E-1	2.7456E-2	2.1210E-3	1.6859E-4	2.7019E-4	5.5795E-5
5.7988E+2	2.4885E+1	1.6999E-1	2.6869E-2	2.0761E-3	1.6740E-4	2.5897E-4	5.3721E-5
6.0037E+2	2.4885E+1	1.5726E-1	2.6933E-2	2.0818E-3	1.6724E-4	2.5541E-4	4.8469E-5
6.2157E+2	2.4885E+1	1.4488E-1	2.6705E-2	2.0610E-3	1.8537E-4	2.6547E-4	4.8405E-5
6.4353E+2	2.4885E+1	1.3248E-1	2.6643E-2	2.0581E-3	1.7660E-4	2.5627E-4	4.6486E-5
6.6626E+2	2.4886E+1	1.2044E-1	2.6455E-2	2.0434E-3	1.7484E-4	2.5467E-4	5.2063E-5
6.8979E+2	2.4886E+1	1.0830E-1	2.6254E-2	2.0274E-3	1.7183E-4	2.5978E-4	3.9668E-5
7.1416E+2	2.4886E+1	9.6265E-2	2.6142E-2	2.0159E-3	1.8436E-4	2.6971E-4	5.1026E-5
7.3938E+2	2.4886E+1	8.4482E-2	2.6021E-2	2.0069E-3	1.8332E-4	2.6573E-4	5.3373E-5
7.6550E+2	2.4886E+1	7.2557E-2	2.5833E-2	1.9938E-3	1.7501E-4	2.5913E-4	4.4342E-5
7.9254E+2	2.4886E+1	6.0596E-2	2.5702E-2	1.9825E-3	1.9147E-4	2.5193E-4	5.7166E-5
8.2053E+2	2.4886E+1	4.8991E-2	2.5652E-2	1.9773E-3	1.9059E-4	2.6303E-4	5.4396E-5
8.4951E+2	2.4886E+1	3.7205E-2	2.5430E-2	1.9604E-3	1.9030E-4	2.5848E-4	5.2323E-5
8.7952E+2	2.4886E+1	2.5461E-2	2.5248E-2	1.9466E-3	1.8893E-4	2.5440E-4	5.5312E-5
9.1059E+2	2.4886E+1	1.3655E-2	2.5139E-2	1.9374E-3	1.8922E-4	2.5901E-4	5.0723E-5
9.4275E+2	2.4886E+1	2.0130E-3	2.5211E-2	1.9431E-3	1.9022E-4	2.5679E-4	6.0996E-5
9.7605E+2	2.4886E+1	-9.6609E-3	2.4910E-2	1.9197E-3	1.8599E-4	2.5926E-4	4.6774E-5
1.0105E+3	2.4887E+1	-2.1562E-2	2.4782E-2	1.9094E-3	1.9288E-4	2.5205E-4	6.1145E-5
1.0462E+3	2.4887E+1	-3.3536E-2	2.4717E-2	1.9042E-3	1.9621E-4	2.5090E-4	5.7732E-5
1.0832E+3	2.4887E+1	-4.5379E-2	2.4526E-2	1.8862E-3	2.0661E-4	2.6307E-4	5.7919E-5
1.1214E+3	2.4887E+1	-5.7265E-2	2.4467E-2	1.8842E-3	2.0328E-4	2.4746E-4	5.2511E-5
1.1610E+3	2.4887E+1	-6.9544E-2	2.4578E-2	1.8913E-3	2.0727E-4	2.5520E-4	5.9196E-5
1.2021E+3	2.4887E+1	-8.1709E-2	2.4420E-2	1.8787E-3	2.1527E-4	2.4807E-4	6.5972E-5
1.2445E+3	2.4887E+1	-9.3955E-2	2.4244E-2	1.8682E-3	1.9432E-4	2.3820E-4	6.5165E-5
1.2885E+3	2.4887E+1	-1.0645E-1	2.4230E-2	1.8647E-3	2.0370E-4	2.5037E-4	6.1137E-5
1.3340E+3	2.4887E+1	-1.1908E-1	2.4044E-2	1.8477E-3	2.2435E-4	2.4651E-4	7.1076E-5
1.3811E+3	2.4887E+1	-1.3175E-1	2.3833E-2	1.8312E-3	2.1497E-4	2.5430E-4	6.5862E-5
1.4299E+3	2.4887E+1	-1.4480E-1	2.3968E-2	1.8429E-3	2.1498E-4	2.4854E-4	6.3010E-5
1.4804E+3	2.4887E+1	-1.5791E-1	2.3822E-2	1.8305E-3	2.1083E-4	2.5519E-4	7.0424E-5
1.5327E+3	2.4887E+1	-1.7127E-1	2.3802E-2	1.8293E-3	2.1727E-4	2.4725E-4	7.0779E-5
1.5868E+3	2.4887E+1	-1.8479E-1	2.3746E-2	1.8229E-3	2.2371E-4	2.5559E-4	7.2383E-5
1.6429E+3	2.4887E+1	-1.9858E-1	2.3646E-2	1.8145E-3	2.3251E-4	2.4869E-4	7.8329E-5
1.7009E+3	2.4887E+1	-2.1261E-1	2.3787E-2	1.8252E-3	2.3434E-4	2.5150E-4	7.7683E-5
1.7610E+3	2.4887E+1	-2.2694E-1	2.3494E-2	1.8031E-3	2.3959E-4	2.3577E-4	7.9688E-5
1.8232E+3	2.4887E+1	-2.4151E-1	2.3581E-2	1.8076E-3	2.4121E-4	2.5408E-4	7.4809E-5
1.8876E+3	2.4887E+1	-2.5640E-1	2.3377E-2	1.7907E-3	2.4348E-4	2.5324E-4	8.3413E-5
1.9542E+3	2.4887E+1	-2.7164E-1	2.3455E-2	1.7966E-3	2.5211E-4	2.4882E-4	7.9389E-5
2.0233E+3	2.4887E+1	-2.8715E-1	2.3417E-2	1.7935E-3	2.4919E-4	2.5060E-4	8.3978E-5
2.0947E+3	2.4887E+1	-3.0310E-1	2.3387E-2	1.7923E-3	2.5155E-4	2.4081E-4	8.0462E-5
2.1687E+3	2.4887E+1	-3.1929E-1	2.3394E-2	1.7881E-3	2.7189E-4	2.5211E-4	8.6000E-5
2.2453E+3	2.4887E+1	-3.3597E-1	2.3280E-2	1.7828E-3	2.5130E-4	2.4739E-4	8.3764E-5
2.3246E+3	2.4887E+1	-3.5297E-1	2.3320E-2	1.7834E-3	2.6112E-4	2.5211E-4	9.3120E-5
2.4068E+3	2.4887E+1	-3.7049E-1	2.3291E-2	1.7803E-3	2.7675E-4	2.4459E-4	8.3284E-5
2.4918E+3	2.4887E+1	-3.8843E-1	2.3252E-2	1.7760E-3	2.7605E-4	2.4937E-4	9.5283E-5
2.5798E+3	2.4887E+1	-4.0686E-1	2.3373E-2	1.7846E-3	2.8765E-4	2.4492E-4	9.3699E-5
2.6709E+3	2.4887E+1	-4.2570E-1	2.3341E-2	1.7815E-3	2.8468E-4	2.4618E-4	1.0917E-4
2.7652E+3	2.4887E+1	-4.4517E-1	2.3225E-2	1.7699E-3	2.9131E-4	2.5414E-4	1.1032E-4
2.8629E+3	2.4887E+1	-4.6502E-1	2.3186E-2	1.7662E-3	2.9875E-4	2.5231E-4	1.0325E-4
2.9640E+3	2.4887E+1	-4.8561E-1	2.3247E-2	1.7718E-3	3.0010E-4	2.4683E-4	1.0011E-4
3.0687E+3	2.4887E+1	-5.0656E-1	2.3121E-2	1.7592E-3	3.0756E-4	2.4676E-4	1.1927E-4
3.1771E+3	2.4887E+1	-5.2815E-1	2.2974E-2	1.7485E-3	3.0492E-4	2.4399E-4	1.1605E-4
3.2894E+3	2.4887E+1	-5.5050E-1	2.3105E-2	1.7559E-3	3.1894E-4	2.4589E-4	1.2118E-4
3.4055E+3	2.4887E+1	-5.7334E-1	2.3122E-2	1.7542E-3	3.2242E-4	2.5651E-4	1.3415E-4
3.5258E+3	2.4887E+1	-5.9702E-1	2.3186E-2	1.7612E-3	3.2033E-4	2.4972E-4	1.2862E-4
3.6504E+3	2.4887E+1	-6.2128E-1	2.3164E-2	1.7560E-3	3.2567E-4	2.5802E-4	1.4371E-4
3.7793E+3	2.4887E+1	-6.4647E-1	2.3163E-2	1.7532E-3	3.4162E-4	2.5443E-4	1.4681E-4
3.9128E+3	2.4887E+1	-6.7223E-1	2.3263E-2	1.7629E-3	3.4035E-4	2.4602E-4	1.4414E-4
4.0510E+3	2.4887E+1	-6.9888E-1	2.3066E-2	1.7436E-3	3.5282E-4	2.4319E-4	1.5979E-4
4.1941E+3	2.4887E+1	-7.2623E-1	2.3135E-2	1.7478E-3	3.6145E-4	2.4786E-4	1.4837E-4
4.3422E+3	2.4886E+1	-7.5456E-1	2.2983E-2	1.7345E-3	3.5807E-4	2.5043E-4	1.6278E-4
4.4956E+3	2.4886E+1	-7.8378E-1	2.3097E-2	1.7417E-3	3.6814E-4	2.4282E-4	1.7354E-4
4.6544E+3	2.4886E+1	-8.1384E-1	2.2993E-2	1.7330E-3	3.7143E-4	2.4404E-4	1.6659E-4
4.8188E+3	2.4886E+1	-8.4495E-1	2.3002E-2	1.7299E-3	3.8773E-4	2.4275E-4	1.7187E-4
4.9890E+3	2.4886E+1	-8.7705E-1	2.2874E-2	1.7178E-3	3.8918E-4	2.4047E-4	1.8873E-4
5.1652E+3	2.4886E+1	-9.1011E-1	2.3036E-2	1.7290E-3	3.9638E-4	2.5208E-4	1.7568E-4
5.3477E+3	2.4886E+1	-9.4413E-1	2.3067E-2	1.7283E-3	4.0376E-4	2.4909E-4	1.9372E-4
5.5366E+3	2.4886E+1	-9.7955E-1	2.2958E-2	1.7167E-3	4.1150E-4	2.4966E-4	2.0140E-4
5.7321E+3	2.4886E+1	-1.0160E+0	2.2966E-2	1.7140E-3	4.2153E-4	2.4708E-4	2.1217E-4
5.9346E+3	2.4886E+1	-1.0537E+0	2.2849E-2	1.7063E-3	4.1045E-4	2.5348E-4	2.1094E-4
6.1442E+3	2.4886E+1	-1.0925E+0	2.2912E-2	1.7027E-3	4.3390E-4	2.5341E-4	2.3354E-4
6.3613E+3	2.4885E+1	-1.1327E+0	2.2854E-2	1.6994E-3	4.3002E-4	2.4950E-4	2.3443E-4
6.5859E+3	2.4885E+1	-1.1744E+0	2.2899E-2	1.7008E-3	4.3952E-4	2.4658E-4	2.3684E-4
6.8186E+3	2.4885E+1	-1.2172E+0	2.2720E-2	1.6860E-3	4.3699E-4	2.4477E-4	2.4444E-4
7.0594E+3	2.4885E+1	-1.2616E+0	2.2761E-2	1.6842E-3	4.5073E-4	2.4778E-4	2.5175E-4
7.3088E+3	2.4885E+1	-1.3075E+0	2.2707E-2	1.6771E-3	4.5653E-4	2.4617E-4	2.6050E-4
7.5669E+3	2.4885E+1	-1.3549E+0	2.2723E-2	1.6762E-3	4.5357E-4	2.5106E-4	2.7502E-4
7.8342E+3	2.4885E+1	-1.4039E+0	2.2567E-2	1.6608E-3	4.6379E-4	2.4082E-4	2.8213E-4
8.1109E+3	2.4885E+1	-1.4548E+0	2.2574E-2	1.6587E-3	4.6276E-4	2.4769E-4	2.9355E-4
8.3974E+3	2.4884E+1	-1.5070E+0	2.2592E-2	1.6569E-3	4.7463E-4	2.4408E-4	2.9592E-4
8.6940E+3	2.4884E+1	-1.5614E+0	2.2454E-2	1.6435E-3	4.6574E-4	2.4507E-4	3.1915E-4
