%	Date:	2006-06-01	Time:	02:08:07
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.52800
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0136E+0	3.3399E-2	2.1070E-3	8.5095E-5	3.1236E-4	4.1681E-5
2.0706E+1	2.4815E+1	6.7802E+0	3.3380E-2	2.1065E-3	9.7011E-5	3.0497E-4	3.6607E-5
2.1438E+1	2.4819E+1	6.5547E+0	3.3815E-2	2.1348E-3	1.0819E-4	2.9955E-4	3.4645E-5
2.2195E+1	2.4822E+1	6.3365E+0	3.4907E-2	2.2065E-3	1.0592E-4	2.9038E-4	3.7990E-5
2.2979E+1	2.4824E+1	6.1258E+0	3.7113E-2	2.3489E-3	1.0873E-4	2.8645E-4	4.0636E-5
2.3791E+1	2.4827E+1	5.9220E+0	3.5138E-2	2.2226E-3	1.0917E-4	2.7990E-4	3.8542E-5
2.4631E+1	2.4830E+1	5.7249E+0	3.1277E-2	1.9743E-3	1.0822E-4	2.7515E-4	3.9604E-5
2.5501E+1	2.4832E+1	5.5345E+0	2.5208E-2	1.5810E-3	1.1078E-4	2.7737E-4	3.4009E-5
2.6402E+1	2.4834E+1	5.3502E+0	2.6135E-2	1.6420E-3	1.0875E-4	2.7248E-4	3.6510E-5
2.7334E+1	2.4837E+1	5.1723E+0	3.6388E-2	2.3045E-3	1.1163E-4	2.6689E-4	3.7693E-5
2.8300E+1	2.4839E+1	5.0002E+0	3.0159E-2	1.9029E-3	1.0260E-4	2.6900E-4	5.5848E-5
2.9299E+1	2.4841E+1	4.8339E+0	3.1820E-2	2.0095E-3	1.1238E-4	2.6624E-4	6.8327E-5
3.0334E+1	2.4843E+1	4.6732E+0	3.2448E-2	2.0500E-3	1.1135E-4	2.6496E-4	7.5667E-5
3.1406E+1	2.4844E+1	4.5178E+0	3.2111E-2	2.0296E-3	1.1956E-4	2.6120E-4	1.7511E-5
3.2515E+1	2.4846E+1	4.3676E+0	3.2122E-2	2.0297E-3	1.1630E-4	2.6409E-4	4.4433E-5
3.3664E+1	2.4848E+1	4.2223E+0	3.1912E-2	2.0166E-3	1.1798E-4	2.6113E-4	3.6536E-5
3.4853E+1	2.4849E+1	4.0820E+0	3.1967E-2	2.0215E-3	1.1668E-4	2.5117E-4	3.8196E-5
3.6084E+1	2.4851E+1	3.9464E+0	3.2025E-2	2.0318E-3	1.1303E-4	1.9245E-4	3.7733E-5
3.7358E+1	2.4852E+1	3.8149E+0	3.2242E-2	2.0204E-3	1.1511E-4	3.7420E-4	3.6681E-5
3.8678E+1	2.4854E+1	3.6884E+0	3.2254E-2	2.0264E-3	1.1525E-4	3.4361E-4	4.5639E-5
4.0044E+1	2.4855E+1	3.5645E+0	3.1888E-2	2.0164E-3	1.1251E-4	2.5354E-4	3.2830E-5
4.1458E+1	2.4856E+1	3.4473E+0	3.1957E-2	2.0202E-3	1.0897E-4	2.5923E-4	3.9662E-5
4.2923E+1	2.4857E+1	3.3307E+0	3.1822E-2	2.0120E-3	1.1566E-4	2.5263E-4	3.7796E-5
4.4439E+1	2.4858E+1	3.2250E+0	3.1778E-2	2.0088E-3	1.0398E-4	2.6032E-4	3.7418E-5
4.6009E+1	2.4859E+1	3.1184E+0	3.1881E-2	2.0175E-3	7.8285E-5	2.5276E-4	4.0926E-5
4.7634E+1	2.4861E+1	3.0091E+0	3.1685E-2	2.0051E-3	7.5024E-5	2.5499E-4	7.7168E-6
4.9316E+1	2.4862E+1	2.9141E+0	3.2097E-2	2.0203E-3	2.1549E-4	2.4978E-4	9.0916E-5
5.1058E+1	2.4863E+1	2.8145E+0	3.1837E-2	2.0089E-3	1.3815E-4	2.4530E-4	1.2590E-4
5.2862E+1	2.4863E+1	2.7210E+0	3.1768E-2	2.0085E-3	1.3148E-4	2.4592E-4	3.1550E-5
5.4729E+1	2.4864E+1	2.6277E+0	3.1823E-2	2.0115E-3	1.3334E-4	2.4765E-4	4.2540E-5
5.6662E+1	2.4864E+1	2.5428E+0	3.1682E-2	2.0036E-3	1.0997E-4	2.4989E-4	4.0329E-5
5.8663E+1	2.4866E+1	2.4597E+0	3.1648E-2	2.0036E-3	1.1096E-4	2.3018E-4	4.4791E-5
6.0735E+1	2.4866E+1	2.3793E+0	3.1698E-2	1.9997E-3	1.1317E-4	2.8640E-4	3.4498E-5
6.2881E+1	2.4867E+1	2.2997E+0	3.1770E-2	2.0105E-3	1.1952E-4	2.3579E-4	3.5409E-5
6.5102E+1	2.4868E+1	2.2203E+0	3.2006E-2	2.0142E-3	1.1956E-4	3.1941E-4	3.7298E-5
6.7401E+1	2.4869E+1	2.1487E+0	3.0807E-2	1.9469E-3	1.1802E-4	2.5073E-4	2.7275E-5
6.9782E+1	2.4869E+1	2.0769E+0	3.1218E-2	1.9728E-3	1.2049E-4	2.4995E-4	5.2510E-5
7.2247E+1	2.4870E+1	2.0073E+0	3.1417E-2	1.9866E-3	1.1086E-4	2.4469E-4	5.8717E-5
7.4799E+1	2.4870E+1	1.9397E+0	2.9734E-2	1.8796E-3	1.0542E-4	2.3996E-4	3.9575E-5
7.7441E+1	2.4871E+1	1.8754E+0	3.2903E-2	2.0842E-3	7.7263E-5	2.4561E-4	4.1295E-5
