%	Date:	2006-06-01	Time:	02:54:21
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.64600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4811E+1	7.0199E+0	3.5719E-2	2.7379E-3	1.1581E-4	5.2172E-4	3.0911E-5
2.0706E+1	2.4815E+1	6.7863E+0	3.5473E-2	2.7180E-3	1.2760E-4	5.2000E-4	4.4053E-5
2.1438E+1	2.4818E+1	6.5606E+0	3.5780E-2	2.7432E-3	1.2896E-4	5.1554E-4	4.2112E-5
2.2195E+1	2.4821E+1	6.3423E+0	3.4626E-2	2.6510E-3	1.2734E-4	5.1812E-4	4.1187E-5
2.2979E+1	2.4824E+1	6.1313E+0	3.4611E-2	2.6501E-3	1.2520E-4	5.1730E-4	4.0385E-5
2.3791E+1	2.4826E+1	5.9274E+0	4.0437E-2	3.1128E-3	1.3428E-4	5.1450E-4	4.2328E-5
2.4631E+1	2.4829E+1	5.7302E+0	2.9854E-2	2.2685E-3	1.3418E-4	5.2086E-4	4.3254E-5
2.5501E+1	2.4832E+1	5.5397E+0	3.7673E-2	2.8957E-3	1.2982E-4	5.0414E-4	3.7702E-5
2.6402E+1	2.4834E+1	5.3554E+0	3.5916E-2	2.7556E-3	1.2523E-4	5.0777E-4	4.4007E-5
2.7334E+1	2.4836E+1	5.1773E+0	3.2477E-2	2.4813E-3	1.2641E-4	5.0938E-4	4.4062E-5
2.8300E+1	2.4838E+1	5.0051E+0	3.4468E-2	2.6404E-3	1.2866E-4	5.0569E-4	5.8313E-5
2.9299E+1	2.4840E+1	4.8387E+0	3.4491E-2	2.6409E-3	1.3359E-4	5.0972E-4	7.0373E-5
3.0334E+1	2.4842E+1	4.6778E+0	3.5338E-2	2.7082E-3	1.3441E-4	5.1033E-4	7.0204E-5
