%	Date:	2006-06-01	Time:	03:35:55
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.14900
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9709E+0	1.9639E-2	3.5377E-4	8.8679E-6	4.3443E-6	5.0242E-6
2.0706E+1	2.4815E+1	6.7387E+0	1.8828E-2	3.3922E-4	8.2817E-6	4.0437E-7	2.3298E-6
2.1438E+1	2.4818E+1	6.5137E+0	1.9003E-2	3.4221E-4	1.2818E-5	2.7996E-6	4.1477E-6
2.2195E+1	2.4821E+1	6.2972E+0	1.6599E-2	2.9905E-4	6.5695E-6	2.9831E-6	2.0872E-6
2.2979E+1	2.4824E+1	6.0875E+0	1.5756E-2	2.8377E-4	9.6718E-6	3.5824E-6	6.3695E-7
2.3791E+1	2.4827E+1	5.8849E+0	2.3177E-2	4.1756E-4	9.6438E-6	5.3110E-6	1.5922E-6
2.4631E+1	2.4829E+1	5.6887E+0	1.5291E-2	2.7512E-4	1.3630E-5	7.5566E-6	2.9390E-6
2.5501E+1	2.4832E+1	5.4994E+0	2.4160E-2	4.3531E-4	7.6380E-6	2.9041E-6	4.0847E-6
2.6402E+1	2.4834E+1	5.3163E+0	2.2078E-2	3.9781E-4	7.1658E-6	2.5701E-6	2.3755E-6
2.7334E+1	2.4836E+1	5.1393E+0	1.4066E-2	2.5335E-4	7.9543E-6	8.5651E-7	3.2915E-6
2.8300E+1	2.4838E+1	4.9684E+0	1.8480E-2	3.3291E-4	7.0047E-6	4.7666E-6	4.5226E-6
2.9299E+1	2.4840E+1	4.8029E+0	1.7873E-2	3.2077E-4	1.0875E-5	2.9301E-6	2.7157E-5
3.0334E+1	2.4842E+1	4.6432E+0	1.8450E-2	3.3083E-4	1.1620E-5	1.4882E-6	3.1444E-5
3.1406E+1	2.4844E+1	4.4887E+0	1.8172E-2	3.2705E-4	1.2385E-5	3.0872E-6	1.1402E-5
3.2515E+1	2.4845E+1	4.3395E+0	1.8056E-2	3.2527E-4	7.4418E-6	4.7006E-6	3.4097E-6
3.3664E+1	2.4847E+1	4.1953E+0	1.8335E-2	3.3028E-4	1.0041E-5	2.6577E-6	5.9470E-7
3.4853E+1	2.4848E+1	4.0553E+0	1.8053E-2	3.2513E-4	1.1307E-5	3.9911E-6	1.3256E-6
3.6084E+1	2.4850E+1	3.9207E+0	1.8144E-2	3.2578E-4	1.3010E-5	2.3590E-5	8.2984E-6
3.7358E+1	2.4851E+1	3.7906E+0	1.7781E-2	3.1874E-4	6.3434E-6	3.2481E-5	2.6655E-6
3.8678E+1	2.4852E+1	3.6638E+0	1.7963E-2	3.2271E-4	3.2202E-6	2.5450E-5	1.0343E-6
4.0044E+1	2.4854E+1	3.5443E+0	1.7575E-2	3.1657E-4	6.7423E-6	8.0185E-6	2.4139E-6
4.1458E+1	2.4854E+1	3.4239E+0	1.8222E-2	3.2803E-4	1.2948E-5	4.2557E-6	7.7918E-6
4.2923E+1	2.4856E+1	3.3128E+0	1.7945E-2	3.2321E-4	7.4710E-6	7.1778E-6	4.4506E-6
4.4439E+1	2.4857E+1	3.1971E+0	1.7952E-2	3.2340E-4	5.6564E-6	1.5731E-6	6.9767E-6
4.6009E+1	2.4858E+1	3.0899E+0	1.7639E-2	3.1760E-4	1.1279E-5	4.6105E-6	5.7656E-6
4.7634E+1	2.4859E+1	2.9939E+0	1.8157E-2	3.2517E-4	3.4196E-5	1.0629E-6	1.3198E-5
4.9316E+1	2.4860E+1	2.8877E+0	1.8413E-2	3.2911E-4	3.4028E-5	5.9330E-6	2.4926E-5
